"tid";"cp_characteristic";"type"
1;"c_p:22,0.058369337;48,0;41,0;23,0.051082165;13,0.282893357;18,0.10657008;15,0.184153098;11,0.438937417;34,0.000191831;1,0;33,0.000669103;4,0.375711942;2,0.076415988;12,0.357787204;40,0;26,0.03536167;29,0.010026289;49,0;39,0;9,0.477993013;27,0.03157632;14,0.226500257;35,0;47,0;25,0.039777069;46,0;0,0;44,0;37,0;36,0;24,0.044959252;38,0;16,0.151737477;6,0.451892079;10,0.476835767;21,0.067111187;43,0;20,0.077689588;19,0.090613312;32,0.001604437;45,0;17,0.12650452;30,0.005962334;42,0;50,0;5,0.420593599;28,0.015873584;7,0.469338237;31,0.003276449;8,0.477599927;3,0.27924855;";Enercon E-101
2;"c_p:30,0;43,0;4,0.464272221;6,0.515858023;1,0;28,0;36,0;7,0.454797277;27,0;41,0;2,0;37,0;16,0.145085069;21,0.064168928;32,0;46,0;15,0.176079539;5,0.475414754;31,0;23,0.048842643;39,0;17,0.120958364;25,0.03803318;47,0;13,0.270490871;40,0;42,0;48,0;45,0;19,0.086640683;11,0.418577509;34,0;38,0;10,0.48284311;24,0.042988169;26,0;22,0.055810335;12,0.339606532;29,0;9,0.484014935;49,0;50,0;18,0.101897881;33,0;0,0;3,0.550248558;44,0;14,0.216570132;35,0;8,0.478780728;20,0.074283555";Enercon E-53
3;"c_p:20,0.122137796;15,0.279967467;6,0.477217273;34,0;39,0;9,0.500783558;41,0;0,0;33,0;31,0;49,0;8,0.4991208;3,0.159072424;14,0.332608613;28,0;18,0.167541558;30,0;24,0.070681595;13,0.38609636;29,0;48,0;47,0;7,0.488347705;26,0;11,0.48402954;5,0.429495546;10,0.500362311;25,0.062534551;50,0;4,0.335543395;21,0.10550722;17,0.198881003;23,0.080307583;38,0;35,0;1,0;46,0;37,0;32,0;12,0.441177427;2,0;44,0;40,0;27,0;45,0;19,0.142455513;22,0.091763934;42,0;16,0.237239666;43,0;36,0;";Enercon E-44
4;"c_p:0,0;1,0;2,0.115933516;3,0.286255595;4,0.39610618;5,0.430345211;6,0.45944023;7,0.479507331;8,0.492113623;9,0.500417188;10,0.488466547;11,0.420415054;12,0.354241299;13,0.288470591;14,0.230965702;15,0.18778367;16,0.154728976;17,0.128998552;18,0.108671106;19,0.09239975;20,0.079221236;21,0.068434282;22,0.059520087;23,0.052089249;24,0.045845623;25,0.040561273;26,0.036058824;27,0.032198846;28,0.016618264;29,0.010330976;30,0.006091519;31,0.003331177;32,0.001641637;33,0.000705423;34,0.000196644;35,0;36,0;37,0;38,0;39,0;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;";Enercon E-82
5;"c_p:46,0;19,0.106548114;36,0;39,0;45,0;16,0.178421268;3,0.167081279;28,0;34,0;30,0;31,0;29,0;49,0;22,0.068633876;13,0.324428191;6,0.459473517;18,0.125310959;10,0.500742593;32,0;14,0.266331456;9,0.495055641;35,0;23,0.060065219;7,0.473478143;0,0;1,0;41,0;25,0.046772065;21,0.078913024;17,0.14875097;47,0;12,0.391596748;42,0;44,0;4,0.352437073;26,0;5,0.433074675;48,0;37,0;24,0.052865561;11,0.454847713;40,0;15,0.216537338;27,0;38,0;2,0;50,0;8,0.484600975;20,0.091351689;33,0;43,0;";Enercon E-48
6;"c_p:6,0.381824307;25,0.060700901;19,0.138278405;47,0;33,0;36,0;48,0;45,0;23,0.077952789;29,0;16,0.231555561;28,0;9,0.509099077;30,0;3,0.763648615;34,0;18,0.162628872;35,0;20,0.118556447;44,0;10,0.515462815;22,0.089073214;14,0.338131584;49,0;11,0.480220804;15,0.28102269;43,0;37,0;12,0.453416365;21,0.102413517;4,0.644328519;1,0;42,0;32,0;8,0.523516921;39,0;50,0;0,0;17,0.193049375;24,0.068609055;27,0;41,0;40,0;38,0;5,0.428865062;46,0;2,0;26,0;13,0.394163646;31,0;7,0.480898253;";Enercon E-70
7;"c_p:14,0.33512597;19,0.138879615;21,0.102858793;32,0;5,0.418968176;7,0.480898253;31,0;29,0;43,0;26,0;8,0.504187066;48,0;3,0.274913501;6,0.458189169;1,0;23,0.078291714;13,0.390409706;16,0.232562325;4,0.360823971;44,0;38,0;25,0.060964818;28,0;34,0;42,0;45,0;35,0;17,0.19388872;33,0;46,0;36,0;27,0;37,0;22,0.089460489;50,0;10,0.504328818;40,0;49,0;30,0;2,0.103092563;20,0.11907191;9,0.504573751;0,0;12,0.453416365;47,0;24,0.068907355;18,0.163335954;15,0.28102269;41,0;39,0;11,0.492613599;";Enercon E-71
8;"c_p:14,0.178086912;48,0;39,0;41,0;33,0;22,0.045893171;7,0.534260737;19,0.071245151;31,0;20,0.061083811;13,0.222426257;21,0.052766493;35,0;40,0;34,0;8,0.536869432;25,0.031274911;46,0;12,0.282795421;0,0;38,0;44,0;5,0.244335244;50,0;10,0.397044771;29,0;47,0;2,0;15,0.144791256;17,0.099464785;1,0;43,0;11,0.344198784;30,0;4,0.238608636;45,0;32,0;28,0;24,0.035349428;42,0;9,0.460851797;6,0.494891987;26,0;37,0;27,0;3,0;16,0.119304318;18,0.083791236;36,0;49,0;23,0.040163597;";GE 1.6-82.5
9;"c_p:18,0.096883616;28,0;23,0.046439159;13,0.25718036;9,0.460851797;15,0.167414889;1,0;27,0;41,0;36,0;26,0;7,0.400695553;22,0.053063979;3,0;8,0.417565114;19,0.082377205;29,0;31,0;37,0;30,0;35,0;44,0;33,0;39,0;46,0;49,0;20,0.070628156;10,0.427586676;0,0;11,0.390091956;40,0;17,0.115006157;16,0.137945618;32,0;38,0;14,0.205912992;2,0;45,0;50,0;43,0;21,0.061011257;12,0.326982205;42,0;25,0.036161616;48,0;5,0.427586676;24,0.040872776;4,0.238608636;6,0.424193131;34,0;47,0;";GE 1.85-82.5
10;"c_p:1,0;35,0;46,0;28,0;21,0.052894644;29,0;49,0;10,0.39188584;22,0.04600463;44,0;14,0.178519424;4,0.459241219;47,0;13,0.222966454;16,0.119594068;37,0;25,0.031350867;30,0;43,0;3,0;45,0;27,0;40,0;31,0;20,0.061232163;36,0;8,0.459241219;32,0;7,0.428446619;42,0;18,0.083994736;19,0.071418181;23,0.040261141;24,0.035435279;38,0;5,0.470263008;33,0;48,0;34,0;12,0.283482234;11,0.331233336;39,0;41,0;9,0.403174733;2,0;0,0;17,0.099706351;6,0.453571575;50,0;26,0;15,0.145142904;";GE 2.5-103
11;"c_p:31,0;9,0;47,0;42,0;49,0;36,0;10,0;8,0;22,0;46,0;26,0;23,0;11,0;14,0;40,0;3,0;44,0;12,0;39,0;4,0;1,0;33,0;41,0;35,0;5,0;15,0;19,0;50,0;18,0;13,0;21,0;30,0;37,0;28,0;32,0;20,0;29,0;24,0;7,0;45,0;2,0;25,0;43,0;48,0;27,0;38,0;0,0;16,0;17,0;6,0;34,0;";no_type
12;"c_p:12,0.296776451;45,0;25,0;37,0;8,0.455946431;41,0;46,0;36,0;10,0.424690349;1,0;28,0;32,0;50,0;5,0.3941326;29,0;21,0;44,0;9,0.457383887;13,0.236545112;11,0.36249424;39,0;26,0;2,0;34,0;7,0.447266393;6,0.431149899;4,0.285829286;49,0;16,0.126877346;3,0;27,0;31,0;47,0;18,0.089110015;40,0;30,0;17,0.105778467;33,0;0,0;43,0;22,0;38,0;20,0.064961201;24,0;35,0;14,0.189391257;48,0;19,0.075767548;15,0.153982107;42,0;23,0;";Nordex N100/2500
